Account ID,Client id,Branch Name,Product Id,Loan Amount,Funded Amount,Funded Amount Inv,Disbursement Date,Loan Status,Repayment Type,Center Id,BranchID
ACC000020,376,CHHATA,JLG50K,14558,38183,32441,08-02-15,Fully Paid,Quarterly EMI,910020,CHHATA-910020
ACC000021,252,HAPUR,JLG50K,30750,43606,40106,27-08-21,Fully Paid,Quarterly EMI,210563,HAPUR-210563
ACC000022,312,SANGRUR,JLG35K,12261,14267,32289,24-04-23,Fully Paid,Monthly EMI,110159,SANGRUR-110159
ACC000023,450,AGRA,JLG35K,19519,29464,30182,03-07-17,Fully Paid,Monthly EMI,140056,AGRA-140056
ACC000024,160,SIVASAGAR,JLG35K,22376,41243,39650,26-09-16,Fully Paid,Quarterly EMI,880038,SIVASAGAR-880038
ACC000025,16,CUTTACK,JLG35K,43369,23392,25488,19-06-20,Paid Off,Quarterly EMI,630081,CUTTACK-630081
ACC000026,427,DHURI,JLG30K,9328,14266,15204,22-09-19,Paid Off,Monthly EMI,1030063,DHURI-1030063
ACC000027,942,DHURI,JLG46K,2417,34200,20537,31-03-18,Fully Paid,Monthly EMI,1030063,DHURI-1030063
ACC000028,721,Mathura,JLG30K,42636,49290,27420,12-07-21,Default,Monthly EMI,910182,Mathura-910182
ACC000029,291,DURGAPUR,JLG50K,2751,5699,12374,02-04-18,Active,Quarterly EMI,700013,DURGAPUR-700013
ACC000030,994,BULANDSHAHR,JLG46K,36868,41803,21947,15-11-20,Fully Paid,Monthly EMI,10068,BULANDSHAHR-10068
ACC000031,211,MUKTSAR,JLG41K,43297,27561,31134,01-08-16,Fully Paid,Monthly EMI,1110166,MUKTSAR-1110166
ACC000032,416,Mathura,JLG30K,26537,31456,44460,18-01-17,Active,Monthly EMI,910182,Mathura-910182
ACC000033,611,DHURI,JLG30K,6975,24865,25569,13-02-17,Active,Quarterly EMI,1030063,DHURI-1030063
ACC000034,34,BULANDSHAHR,JLG35K,27292,27781,5688,11-06-19,Fully Paid,Monthly EMI,10068,BULANDSHAHR-10068
ACC000035,920,BEHROR,JLG30K,17883,23951,16740,21-01-20,Fully Paid,Monthly EMI,30179,BEHROR-30179
ACC000036,941,Mangaldoi,JLG35K,5739,7389,8156,26-01-21,Fully Paid,Monthly EMI,570241,Mangaldoi-570241
ACC000037,595,MUKTSAR,JLG35K,28688,34093,39444,29-03-21,Fully Paid,Quarterly EMI,1110166,MUKTSAR-1110166
ACC000038,774,BULANDSHAHR,JLG30K,8277,39398,24143,15-09-20,Fully Paid,Monthly EMI,10068,BULANDSHAHR-10068
ACC000039,895,SANGRUR,JLG35K,21369,4763,1732,02-09-20,Paid Off,Monthly EMI,110159,SANGRUR-110159
ACC000040,598,FATEHGARH SAHIB,JLG30K,28902,16191,10665,05-09-17,Paid Off,Monthly EMI,120676,FATEHGARH SAHIB-120676
ACC000041,206,TEZPUR,JLG30K,6228,27339,16284,14-04-21,Fully Paid,Quarterly EMI,680026,TEZPUR-680026
ACC000042,349,Mathura,JLG30K,13095,15927,19119,22-12-22,Fully Paid,Monthly EMI,910182,Mathura-910182
ACC000043,110,MAWANA,JLG30K,27443,15926,5774,16-11-19,Default,Quarterly EMI,800018,MAWANA-800018
ACC000044,10,Mangaldoi,JLG35K,5614,31158,20855,04-02-21,Active,Monthly EMI,570241,Mangaldoi-570241
ACC000045,41,MAWANA,JLG30K,48162,29994,14416,10-08-20,Fully Paid,Monthly EMI,800018,MAWANA-800018
ACC000046,610,ASANSOL,JLG30K,16050,25227,10159,06-06-16,Active,Quarterly EMI,690076,ASANSOL-690076
ACC000047,245,Mathura,JLG46K,48450,25184,26822,06-10-21,Default,Quarterly EMI,910182,Mathura-910182
ACC000048,372,Mangaldoi,JLG30K,40775,49778,26979,09-12-18,Fully Paid,Monthly EMI,570241,Mangaldoi-570241
ACC000049,242,JAMMU,JLG35K,22891,13457,21237,02-08-17,Active,Quarterly EMI,720081,JAMMU-720081
ACC000050,763,MUKTSAR,JLG46K,31115,13467,39122,16-08-15,Fully Paid,Quarterly EMI,1110166,MUKTSAR-1110166
ACC000051,467,PAOTA,JLG30K,25377,36909,5288,09-11-21,Fully Paid,Quarterly EMI,90149,PAOTA-90149
ACC000052,942,DHURI,JLG44K,49339,13273,43488,24-12-19,Paid Off,Quarterly EMI,1030063,DHURI-1030063
ACC000053,260,MODINAGAR,JLG45K,35642,5329,29742,06-01-18,Paid Off,Quarterly EMI,410521,MODINAGAR-410521
ACC000054,743,SANGRUR,JLG30K,27146,38341,6414,18-03-18,Paid Off,Quarterly EMI,110159,SANGRUR-110159
ACC000055,102,RAIPUR,JLG30K,34937,28632,30117,10-12-20,Paid Off,Quarterly EMI,230415,RAIPUR-230415
ACC000056,822,MAWANA,JLG35K,30017,5948,4398,18-08-15,Fully Paid,Quarterly EMI,800018,MAWANA-800018
ACC000057,389,VARANASI,JLG30K,49838,7262,17531,22-05-23,Fully Paid,Monthly EMI,1280108,VARANASI-1280108
ACC000058,438,MUKTSAR,JLG50K,21191,37436,15455,20-07-22,Active,Quarterly EMI,1110166,MUKTSAR-1110166
ACC000059,929,SIRSA,JLG44K,11075,35641,22867,28-07-17,Paid Off,Quarterly EMI,730084,SIRSA-730084
ACC000060,583,DHURI,JLG40K,45722,3094,1650,26-09-21,Paid Off,Monthly EMI,1030063,DHURI-1030063
ACC000061,527,BEHROR,JLG30K,12194,44573,2944,10-02-18,Default,Monthly EMI,30179,BEHROR-30179
ACC000062,599,DURGAPUR,JLG30K,19117,37933,10250,07-04-16,Active,Monthly EMI,700013,DURGAPUR-700013
ACC000063,781,Mathura,JLG35K,13860,9030,18653,22-05-17,Default,Monthly EMI,910182,Mathura-910182
ACC000064,592,BEHROR,JLG35,16682,8122,39585,13-01-18,Fully Paid,Quarterly EMI,30179,BEHROR-30179
ACC000065,501,Mangaldoi,JLG30K,32358,43953,3273,27-09-16,Paid Off,Quarterly EMI,570241,Mangaldoi-570241
ACC000066,957,HAPUR,JLG35K,42998,9607,20396,26-07-22,Default,Quarterly EMI,210563,HAPUR-210563
ACC000067,264,BEHROR,JLG35K,44976,45897,26048,20-08-23,Fully Paid,Quarterly EMI,30179,BEHROR-30179
ACC000068,184,TEZPUR,JLG30K,44956,49078,44821,18-04-17,Fully Paid,Monthly EMI,680026,TEZPUR-680026
ACC000069,802,PALWAL,JLG30K,27944,34234,36297,09-07-23,Paid Off,Monthly EMI,20242,PALWAL-20242
ACC000070,548,BEHROR,JLG30K,39169,24275,14292,27-08-17,Paid Off,Monthly EMI,30179,BEHROR-30179
ACC000071,407,BULANDSHAHR,JLG35,27028,18539,24898,23-09-15,Active,Monthly EMI,10068,BULANDSHAHR-10068
ACC000072,143,FATEHABAD,JLG30K,43418,9715,32765,06-09-22,Default,Monthly EMI,670106,FATEHABAD-670106
ACC000073,586,DHURI,JLG29K,19883,10961,29901,19-01-19,Paid Off,Monthly EMI,1030063,DHURI-1030063
ACC000074,67,MOTIHARI,JLG30K,22796,17749,40196,17-04-19,Default,Quarterly EMI,520376,MOTIHARI-520376
ACC000075,15,MAWANA,JLG35K,13708,20110,12289,15-09-17,Paid Off,Quarterly EMI,800018,MAWANA-800018
ACC000076,895,DURGAPUR,JLG30K,29153,45719,34105,11-04-23,Active,Quarterly EMI,700013,DURGAPUR-700013
ACC000077,530,VARANASI,JLG35K,7806,41534,13622,23-07-17,Active,Monthly EMI,1280108,VARANASI-1280108
ACC000078,596,SIRSA,JLG40K,48100,17717,28836,11-10-22,Paid Off,Quarterly EMI,730084,SIRSA-730084
ACC000079,969,BILASPUR,JLG30K,42701,28482,26568,30-01-22,Active,Monthly EMI,240005,BILASPUR-240005
ACC000080,803,Mathura,JLG30K,35683,23023,29685,15-06-23,Active,Quarterly EMI,910182,Mathura-910182
ACC000081,353,Mathura,JLG35K,28413,27026,10723,04-12-22,Fully Paid,Quarterly EMI,910182,Mathura-910182
ACC000082,157,ASANSOL,JLG30K,38388,37541,28911,08-11-19,Active,Monthly EMI,690076,ASANSOL-690076
ACC000083,908,BEHROR,JLG35K,45039,19247,26170,06-01-21,Paid Off,Quarterly EMI,30179,BEHROR-30179
ACC000084,485,MUKTSAR,JLG30K,41935,2903,37536,21-02-19,Fully Paid,Monthly EMI,1110166,MUKTSAR-1110166
ACC000085,546,CUTTACK,JLG44K,2803,37452,37588,24-08-16,Default,Quarterly EMI,630081,CUTTACK-630081
ACC000086,346,MUKTSAR,JLG40K,10849,25823,2282,22-02-18,Paid Off,Monthly EMI,1110166,MUKTSAR-1110166
ACC000087,397,FATEHGARH SAHIB,JLG44K,15846,48444,35742,02-02-22,Default,Monthly EMI,120676,FATEHGARH SAHIB-120676
ACC000088,554,SANGRUR,JLG35K,8596,40562,12942,03-07-21,Fully Paid,Monthly EMI,110159,SANGRUR-110159
ACC000089,907,SANGRUR,JLG30K,40133,17502,36178,11-10-18,Active,Monthly EMI,110159,SANGRUR-110159
ACC000090,275,BILASPUR,JLG35K,49273,41031,19438,27-06-23,Fully Paid,Monthly EMI,240005,BILASPUR-240005
ACC000091,455,MADHUBANI,JLG46K,38086,47958,30455,02-01-16,Default,Monthly EMI,1140044,MADHUBANI-1140044
ACC000092,359,SIRSA,JLG50K,8625,44836,6155,07-11-17,Paid Off,Monthly EMI,730084,SIRSA-730084
ACC000093,885,KAROND,JLG35K,23461,38512,7783,10-07-15,Active,Quarterly EMI,1320004,KAROND-1320004
ACC000094,158,Mangaldoi,JLG30K,38800,2402,37939,27-04-21,Paid Off,Quarterly EMI,570241,Mangaldoi-570241
ACC000095,159,NIMAPADA,JLG30K,43418,19352,40319,20-12-19,Default,Quarterly EMI,440052,NIMAPADA-440052
ACC000096,316,MAHASAMUND,JLG35K,47244,13513,41851,28-02-20,Paid Off,Monthly EMI,250029,MAHASAMUND-250029
ACC000097,780,DURGAPUR,JLG46K,46435,16601,4858,23-10-16,Paid Off,Quarterly EMI,700013,DURGAPUR-700013
ACC000098,27,MUKTSAR,JLG35K,45010,28918,3163,28-02-21,Active,Monthly EMI,1110166,MUKTSAR-1110166
ACC000099,631,TEZPUR,JLG30K,6560,18644,2792,28-07-21,Paid Off,Quarterly EMI,680026,TEZPUR-680026
ACC000100,72,DHURI,JLG30K,30392,38070,43089,23-08-16,Active,Monthly EMI,1030063,DHURI-1030063
ACC000101,665,Mathura,JLG46K,17767,29518,10124,22-03-18,Paid Off,Quarterly EMI,910182,Mathura-910182
ACC000102,788,SIWAN,JLG30K,36062,49077,33824,23-04-17,Active,Monthly EMI,790102,SIWAN-790102
ACC000103,34,DHURI,JLG35K,5311,6270,42683,26-09-17,Paid Off,Quarterly EMI,1030063,DHURI-1030063
ACC000104,898,CHHAPRA,JLG35K,38741,37988,20373,11-12-17,Paid Off,Monthly EMI,380112,CHHAPRA-380112
ACC000105,371,CUTTACK,JLG35K,15885,36925,27523,08-07-16,Default,Quarterly EMI,630081,CUTTACK-630081
ACC000106,779,KAROND,JLG50K,30946,43638,23581,30-11-23,Fully Paid,Monthly EMI,1320004,KAROND-1320004
ACC000107,729,Mathura,JLG30K,14762,16751,14813,11-01-21,Fully Paid,Monthly EMI,910182,Mathura-910182
ACC000108,318,MUKTSAR,JLG44K,14845,25785,4584,27-04-16,Fully Paid,Monthly EMI,1110166,MUKTSAR-1110166
ACC000109,565,SANGRUR,JLG30K,29025,15606,41466,17-09-20,Fully Paid,Monthly EMI,110159,SANGRUR-110159
ACC000110,976,MAWANA,JLG30K,45364,35615,12205,03-06-18,Fully Paid,Monthly EMI,800018,MAWANA-800018
ACC000111,499,ASANSOL,JLG35K,30743,36969,28050,15-05-19,Default,Monthly EMI,690076,ASANSOL-690076
ACC000112,903,BULANDSHAHR,JLG50K,42814,46638,9967,13-10-20,Paid Off,Quarterly EMI,10068,BULANDSHAHR-10068
ACC000113,917,Mathura,JLG35K,5157,45503,43551,26-07-19,Active,Quarterly EMI,910182,Mathura-910182
ACC000114,561,DURGAPUR,JLG30K,3615,27605,7426,02-02-19,Active,Monthly EMI,700013,DURGAPUR-700013
ACC000115,326,PATIALA,JLG35K,18154,7711,29945,30-11-19,Paid Off,Quarterly EMI,100186,PATIALA-100186
ACC000116,971,BEHROR,JLG46K,27156,35606,44860,05-01-16,Paid Off,Monthly EMI,30179,BEHROR-30179
ACC000117,468,MUKTSAR,JLG35K,13516,19847,31820,15-11-15,Paid Off,Quarterly EMI,1110166,MUKTSAR-1110166
ACC000118,456,MODINAGAR,JLG30K,40976,13672,26721,22-06-15,Paid Off,Monthly EMI,410521,MODINAGAR-410521
ACC000119,331,BEHROR,JLG30K,48333,3623,23997,21-05-22,Fully Paid,Quarterly EMI,30179,BEHROR-30179
ACC000120,69,SANGRUR,JLG35K,46816,23532,6156,15-06-20,Default,Quarterly EMI,110159,SANGRUR-110159
ACC000121,657,BULANDSHAHR,JLG35K,39663,21498,7443,13-01-15,Fully Paid,Quarterly EMI,10068,BULANDSHAHR-10068
ACC000122,587,JALANDHAR,JLG40K,30284,14355,28590,19-07-17,Default,Quarterly EMI,160051,JALANDHAR-160051
ACC000123,249,Mangaldoi,JLG35K,7784,34797,1932,30-08-18,Fully Paid,Monthly EMI,570241,Mangaldoi-570241
ACC000124,254,JAMMU,JLG46K,15471,15637,3883,07-07-15,Fully Paid,Monthly EMI,720081,JAMMU-720081
ACC000125,326,SANGRUR,JLG30K,35470,42124,33803,25-07-19,Fully Paid,Quarterly EMI,110159,SANGRUR-110159
ACC000126,671,SANGRUR,JLG35K,38395,33167,29039,25-02-18,Fully Paid,Quarterly EMI,110159,SANGRUR-110159
ACC000127,945,CHHATA,JLG30K,29122,38079,38159,24-09-18,Fully Paid,Quarterly EMI,910020,CHHATA-910020
ACC000128,134,Mangaldoi,JLG30K,12754,12650,19601,28-01-21,Fully Paid,Monthly EMI,570241,Mangaldoi-570241
ACC000129,802,DURGAPUR,JLG35K,47703,38287,30251,02-06-22,Paid Off,Monthly EMI,700013,DURGAPUR-700013
ACC000130,956,ASANSOL,JLG30K,29087,22277,35757,17-07-22,Active,Quarterly EMI,690076,ASANSOL-690076
ACC000131,995,FATEHGARH SAHIB,JLG35K,37790,10941,6165,04-01-16,Paid Off,Quarterly EMI,120676,FATEHGARH SAHIB-120676
ACC000132,420,BEHROR,JLG35K,13518,15004,16744,12-01-17,Active,Quarterly EMI,30179,BEHROR-30179
ACC000133,135,DHURI,JLG30K,8280,38488,31619,26-10-23,Active,Monthly EMI,1030063,DHURI-1030063
ACC000134,446,BEHROR,JLG30K,18025,49700,34731,06-11-23,Paid Off,Quarterly EMI,30179,BEHROR-30179
ACC000135,497,Mathura,JLG30K,2346,7090,5541,01-12-23,Fully Paid,Quarterly EMI,910182,Mathura-910182
ACC000136,711,MUKTSAR,JLG30K,32919,2290,6374,21-10-20,Default,Quarterly EMI,1110166,MUKTSAR-1110166
ACC000137,299,BUXAR,JLG35K,10001,28444,21252,13-12-21,Active,Quarterly EMI,710002,BUXAR-710002
ACC000138,301,MAWANA,JLG30K,35726,32404,7175,08-04-20,Default,Monthly EMI,800018,MAWANA-800018
ACC000139,922,SANGRUR,JLG30K,26756,10648,27186,17-06-18,Fully Paid,Quarterly EMI,110159,SANGRUR-110159
ACC000140,664,Mathura,JLG30K,49455,48436,29406,05-01-20,Paid Off,Monthly EMI,910182,Mathura-910182
ACC000141,761,ASANSOL,JLG30K,45047,18515,39034,18-02-21,Fully Paid,Monthly EMI,690076,ASANSOL-690076
ACC000142,417,NEEM KA THANA,JLG35K,6864,24499,19291,18-02-22,Fully Paid,Quarterly EMI,80001,NEEM KA THANA-80001
ACC000143,806,SANGRUR,JLG30K,12820,22876,40557,11-05-17,Active,Monthly EMI,110159,SANGRUR-110159
ACC000144,397,PAOTA,JLG35K,19235,41455,20303,07-06-22,Fully Paid,Quarterly EMI,90149,PAOTA-90149
ACC000145,157,Mangaldoi,JLG30K,16674,38123,37000,24-02-18,Fully Paid,Monthly EMI,570241,Mangaldoi-570241
ACC000146,513,NEEM KA THANA,JLG30K,12033,40061,28377,02-05-17,Paid Off,Quarterly EMI,80001,NEEM KA THANA-80001
ACC000147,848,BULANDSHAHR,JLG35K,40850,10284,34745,26-08-15,Active,Quarterly EMI,10068,BULANDSHAHR-10068
ACC000148,341,HABRA,JLG30K,15356,26948,44989,25-09-17,Paid Off,Monthly EMI,650051,HABRA-650051
ACC000149,915,BEHROR,JLG30K,37349,33057,38285,21-03-16,Fully Paid,Monthly EMI,30179,BEHROR-30179
ACC000150,753,CHHAPRA,JLG35K,46662,20335,44912,19-09-23,Paid Off,Monthly EMI,380112,CHHAPRA-380112
ACC000151,617,CHHATA,JLG30K,16408,24200,24292,06-10-19,Active,Quarterly EMI,910020,CHHATA-910020
ACC000152,102,Mathura,JLG30K,3534,7896,20211,16-10-15,Fully Paid,Monthly EMI,910182,Mathura-910182
ACC000153,863,DHURI,JLG30K,36784,13835,29966,22-11-16,Paid Off,Quarterly EMI,1030063,DHURI-1030063
ACC000154,671,FATEHGARH SAHIB,JLG30K,46282,10260,16848,24-12-17,Active,Quarterly EMI,120676,FATEHGARH SAHIB-120676
ACC000155,518,Mangaldoi,JLG35K,41823,32694,32079,10-01-23,Fully Paid,Monthly EMI,570241,Mangaldoi-570241
ACC000156,354,AGRA,JLG35K,26752,11057,44797,16-05-21,Active,Quarterly EMI,140056,AGRA-140056
ACC000157,220,KURUKSHETRA,JLG30K,47247,21111,44677,26-03-19,Paid Off,Monthly EMI,70364,KURUKSHETRA-70364
ACC000158,778,BEHROR,JLG30K,11139,25509,7581,14-02-18,Default,Monthly EMI,30179,BEHROR-30179
ACC000159,785,HABRA,JLG30K,39335,48063,24404,24-03-15,Active,Quarterly EMI,650051,HABRA-650051
ACC000160,283,DURGAPUR,JLG35K,15635,32389,24708,04-04-19,Fully Paid,Quarterly EMI,700013,DURGAPUR-700013
ACC000161,693,BEHROR,JLG35K,43340,31728,42205,23-03-17,Paid Off,Monthly EMI,30179,BEHROR-30179
ACC000162,215,CHHATA,JLG35K,33874,12339,26124,01-02-21,Fully Paid,Quarterly EMI,910020,CHHATA-910020
ACC000163,176,BEHROR,JLG35K,48069,34477,28092,23-04-21,Paid Off,Quarterly EMI,30179,BEHROR-30179
ACC000164,702,BULANDSHAHR,JLG45K,13705,49130,12428,19-11-18,Paid Off,Monthly EMI,10068,BULANDSHAHR-10068
ACC000165,245,Mangaldoi,JLG35K,43272,48361,26602,25-08-19,Default,Quarterly EMI,570241,Mangaldoi-570241
ACC000166,402,MUKTSAR,JLG46K,44687,2846,32388,31-01-21,Fully Paid,Monthly EMI,1110166,MUKTSAR-1110166
ACC000167,316,Mathura,JLG30K,12036,32597,42591,29-06-21,Fully Paid,Monthly EMI,910182,Mathura-910182
ACC000168,739,DURGAPUR,JLG35,4019,8664,10208,15-09-23,Paid Off,Quarterly EMI,700013,DURGAPUR-700013
ACC000169,881,CHHATA,JLG35K,17328,2787,30353,27-08-21,Active,Quarterly EMI,910020,CHHATA-910020
ACC000170,782,Mathura,JLG35K,14680,32346,15722,01-07-21,Paid Off,Quarterly EMI,910182,Mathura-910182
ACC000171,879,MUKTSAR,JLG30K,25737,3933,23007,24-12-18,Default,Quarterly EMI,1110166,MUKTSAR-1110166
ACC000172,701,CHHATA,JLG35,25833,11743,8429,27-12-15,Active,Monthly EMI,910020,CHHATA-910020
ACC000173,906,Mathura,JLG35K,29610,15245,26132,18-09-15,Paid Off,Quarterly EMI,910182,Mathura-910182
ACC000174,681,SANGRUR,JLG30K,21811,19646,25369,11-10-23,Fully Paid,Quarterly EMI,110159,SANGRUR-110159
ACC000175,355,DHURI,JLG30K,24196,42626,31823,05-10-17,Fully Paid,Quarterly EMI,1030063,DHURI-1030063
ACC000176,325,MUKTSAR,JLG30K,34948,21677,37869,05-12-22,Active,Monthly EMI,1110166,MUKTSAR-1110166
ACC000177,593,MOTIHARI,JLG30K,42234,46536,41107,14-02-16,Default,Quarterly EMI,520376,MOTIHARI-520376
ACC000178,731,TEZPUR,JLG30K,22800,33069,3925,22-07-21,Paid Off,Monthly EMI,680026,TEZPUR-680026
ACC000179,218,BULANDSHAHR,JLG30K,29073,16701,26015,20-03-23,Default,Monthly EMI,10068,BULANDSHAHR-10068
ACC000180,177,BEHROR,JLG30K,2024,3841,21283,05-09-15,Active,Quarterly EMI,30179,BEHROR-30179
ACC000181,43,SANGRUR,JLG30K,20110,2754,2483,05-03-19,Paid Off,Quarterly EMI,110159,SANGRUR-110159
ACC000182,223,MUKTSAR,JLG30K,22824,9792,15384,12-10-20,Fully Paid,Quarterly EMI,1110166,MUKTSAR-1110166
ACC000183,87,CHHAPRA,JLG30K,6953,49194,2653,21-08-20,Fully Paid,Quarterly EMI,380112,CHHAPRA-380112
ACC000184,219,DHURI,JLG30K,20343,38046,33912,09-10-16,Fully Paid,Monthly EMI,1030063,DHURI-1030063
ACC000185,351,Mangaldoi,JLG30K,6992,42475,35954,05-07-16,Fully Paid,Monthly EMI,570241,Mangaldoi-570241
ACC000186,679,DHURI,JLG35K,46543,45161,11056,16-08-21,Paid Off,Quarterly EMI,1030063,DHURI-1030063
ACC000187,781,PALWAL,JLG35K,49518,49893,40954,24-10-20,Paid Off,Quarterly EMI,20242,PALWAL-20242
ACC000188,455,KAROND,JLG35K,19480,46941,12993,27-04-19,Paid Off,Quarterly EMI,1320004,KAROND-1320004
ACC000189,314,JAMMU,JLG35K,38399,14434,40286,05-05-23,Paid Off,Quarterly EMI,720081,JAMMU-720081
ACC000190,53,GUWAHATI,JLG30K,28685,32571,21038,21-04-23,Paid Off,Monthly EMI,560090,GUWAHATI-560090
ACC000191,746,Mangaldoi,JLG30K,16477,23145,2748,25-08-17,Paid Off,Monthly EMI,570241,Mangaldoi-570241
ACC000192,699,CHHATA,JLG30K,40804,37493,11861,24-01-15,Paid Off,Monthly EMI,910020,CHHATA-910020
ACC000193,953,MADHUBANI,JLG30K,43650,36361,1815,01-03-23,Paid Off,Quarterly EMI,1140044,MADHUBANI-1140044
ACC000194,289,BEHROR,JLG30K,45157,24280,43973,20-03-16,Paid Off,Monthly EMI,30179,BEHROR-30179
ACC000195,598,DHURI,JLG30K,17459,8642,38546,06-09-19,Paid Off,Monthly EMI,1030063,DHURI-1030063
ACC000196,936,CUTTACK,JLG30K,2052,9217,6180,19-04-21,Active,Monthly EMI,630081,CUTTACK-630081
ACC000197,693,CHHATA,JLG35K,3589,19204,9156,30-08-16,Fully Paid,Monthly EMI,910020,CHHATA-910020
ACC000198,913,BEHROR,JLG35K,12655,43204,18635,24-12-15,Fully Paid,Quarterly EMI,30179,BEHROR-30179
ACC000199,971,Mathura,JLG30K,19741,11883,6569,13-08-15,Active,Quarterly EMI,910182,Mathura-910182
ACC000200,685,BULANDSHAHR,JLG30K,30100,26675,34150,26-05-23,Paid Off,Quarterly EMI,10068,BULANDSHAHR-10068
ACC000201,8,PANIPAT,JLG30K,47335,33723,4468,15-03-15,Fully Paid,Quarterly EMI,60004,PANIPAT-60004
ACC000202,871,TEZPUR,JLG45K,4941,29332,40098,02-07-22,Fully Paid,Quarterly EMI,680026,TEZPUR-680026
ACC000203,681,Mathura,JLG35K,28948,47049,3549,26-05-18,Paid Off,Quarterly EMI,910182,Mathura-910182
ACC000204,294,DIBRUGARH,JLG30K,5907,41073,38504,26-04-21,Default,Quarterly EMI,1050013,DIBRUGARH-1050013
ACC000205,156,MAWANA,JLG30K,49635,7292,24770,26-01-17,Paid Off,Monthly EMI,800018,MAWANA-800018
ACC000206,638,BEHROR,JLG50K,17990,34177,27756,30-12-20,Paid Off,Monthly EMI,30179,BEHROR-30179
ACC000207,657,SANGRUR,JLG30K,23135,12794,29472,22-04-21,Fully Paid,Monthly EMI,110159,SANGRUR-110159
ACC000208,650,Mathura,JLG30K,15018,29197,30787,07-08-20,Fully Paid,Quarterly EMI,910182,Mathura-910182
ACC000209,630,BILASPUR,JLG30K,8460,8544,18672,16-09-16,Fully Paid,Monthly EMI,240005,BILASPUR-240005
ACC000210,899,KARNAL,JLG30K,18037,20362,42869,23-10-23,Active,Quarterly EMI,50678,KARNAL-50678
ACC000211,782,HAPUR,JLG35K,35218,34498,25620,18-06-17,Fully Paid,Quarterly EMI,210563,HAPUR-210563
ACC000212,467,DURGAPUR,JLG35K,44634,26521,7177,15-04-21,Fully Paid,Quarterly EMI,700013,DURGAPUR-700013
ACC000213,175,CHHATA,JLG35,49631,44881,41059,02-11-23,Fully Paid,Quarterly EMI,910020,CHHATA-910020
ACC000214,589,MAWANA,JLG30K,15414,29044,28167,10-03-18,Fully Paid,Monthly EMI,800018,MAWANA-800018
ACC000215,396,DURGAPUR,JLG46K,14641,36227,30902,16-11-17,Fully Paid,Quarterly EMI,700013,DURGAPUR-700013
ACC000216,562,SANGRUR,JLG44K,28747,13805,33781,28-07-21,Default,Monthly EMI,110159,SANGRUR-110159
ACC000217,11,BULANDSHAHR,JLG30K,25434,34295,5116,21-12-19,Paid Off,Monthly EMI,10068,BULANDSHAHR-10068
ACC000218,666,RAIPUR,JLG29K,38984,39678,16546,11-03-17,Paid Off,Monthly EMI,230415,RAIPUR-230415
ACC000219,670,BULANDSHAHR,JLG30K,11458,43073,34544,19-05-15,Fully Paid,Monthly EMI,10068,BULANDSHAHR-10068
